date,NDVIS1,NDVIS2,Ec,Ei,Es,PML,GLDAS,MD0.5km,MD1km,Terra_Cl,SMAP,WAPOR,S2
1-Feb-13,0,,2.34,0.261,0.447,3.048,3.886,4.242,0,3.435,,34.68,
1-Mar-13,0.301,,2.554,0.217,0.407,3.178,3.979,4.599,3.514,3.861,,37.391,
1-Apr-13,0.265666667,,2.309,0.099,0.555,2.963,3.269,3.376,3.72,2.86,,38.276,
1-May-13,0.224166667,,1.472,0.035,0.507,2.014,1.972,2.225,3.647,2.115,,31.775,
1-Jun-13,0.199,,1.075,0.009,0.077,1.161,1.109,1.382,2.264,1.333,,24.285,
1-Jul-13,0.181833333,,0.962,0,0.039,1.001,0.625,1.073,1.461,0.867,,20.084,
1-Aug-13,0.176166667,,0.967,0.012,0.183,1.162,0.41,0.7,0.993,0.547,,20.296,
1-Sep-13,0.178166667,,1.157,0.001,0.013,1.171,0.19,0.508,0.758,0.331,,18.625,
1-Oct-13,0.184666667,,1.292,0.02,0.153,1.465,0.402,0.589,0.364,0.624,,18.593,
1-Nov-13,0.197,,1.563,0.051,0.967,2.581,1.552,1,0.248,2.634,,25.302,2
1-Dec-13,0.218857143,,1.673,0.115,1.57,3.358,3.212,2.202,0.34,4.107,,29.382,24
1-Jan-14,0.2505,,1.717,0.195,1.073,2.985,3.899,3.595,0.738,3.44,,28.533,67
1-Feb-14,0.263,,1.95,0.237,0.658,2.845,3.765,3.961,1.807,2.978,,29.888,82
1-Mar-14,0.265,,2.314,0.188,0.518,3.02,3.898,4.418,3.2,3.363,,35.015,85
1-Apr-14,0.2515,,2.025,0.105,0.489,2.619,3.031,3.986,3.626,2.725,,29.608,80
1-May-14,0.225,,1.58,0.035,0.324,1.939,2.09,2.555,3.939,1.858,,28.164,62
1-Jun-14,0.192333333,,1.146,0.015,0.086,1.247,1.215,1.594,3.439,1.297,,22.416,46
1-Jul-14,0.162166667,,1.017,0.004,0.057,1.078,0.696,1.148,2.005,0.896,,19.755,37
1-Aug-14,0.152,,1.004,0.004,0.047,1.055,0.363,0.83,1.294,0.62,,18.08,33
1-Sep-14,0.1505,,1.109,0.012,0.167,1.288,0.355,0.605,0.895,0.53,,13.614,16
1-Oct-14,0.160666667,,1.318,0.013,0.241,1.572,0.531,0.544,0.538,0.696,,14.802,2
1-Nov-14,0.175666667,,1.507,0.039,0.644,2.19,1.228,0.818,0.306,2.712,,20.708,-3
1-Dec-14,0.195428571,,1.626,0.103,1.505,3.234,2.893,1.564,0.337,4.465,,21.753,8
1-Jan-15,0.214,,1.776,0.19,1.067,3.033,4.079,3.231,0.629,3.41,,23.384,60
1-Feb-15,0.2082,,2.449,0.224,0.641,3.314,4.522,3.982,1.221,3.324,,30.936,77
1-Mar-15,0.204857143,,2.744,0.155,0.505,3.404,4.022,4.695,3.636,,,31.761,86
1-Apr-15,0.214,,2.175,0.16,0.49,2.825,3.482,3.769,2.587,,3.313,26.821,79
1-May-15,0.203333333,,1.803,0.025,0.376,2.204,2.278,2.699,1.735,,2.554,27.451,67
1-Jun-15,0.182666667,,1.314,0.002,0.017,1.333,1.193,1.684,1.04,,1.519,23.013,56
1-Jul-15,0.164833333,,1.116,0.003,0.016,1.135,0.653,1.141,0.745,,1.191,21.356,43
1-Aug-15,0.150333333,,1.068,0.002,0.011,1.081,0.301,0.78,0.51,,1.06,18.936,6
1-Sep-15,0.154,0.1975,1.125,0.002,0.015,1.142,0.163,0.5,0.346,,0.949,17.631,5
1-Oct-15,0.179666667,0.276,1.249,0.014,0.102,1.365,0.325,0.5,0.27,,0.899,18.643,-11
1-Nov-15,0.2215,0.349,1.626,0.077,1.372,3.075,1.914,1.144,1.607,,1.649,27.21,-15
1-Dec-15,0.271285714,0.4085,2.102,0.165,1.251,3.518,3.448,2.208,3.86,,2.676,32.897,22
1-Jan-16,0.3025,0.466,2.283,0.209,0.789,3.281,3.698,3.309,3.601,,3.442,37.609,71
1-Feb-16,0.308166667,0.4915,2.598,0.237,0.585,3.42,4.246,4.331,3.297,,3.905,38.453,70
1-Mar-16,0.292,0.489,2.497,0.261,0.472,3.23,4.048,4.353,3.819,,3.943,39.713,84
1-Apr-16,0.261666667,0.4555,2.056,0.131,0.476,2.663,2.962,3.44,1.968,,3.587,32.436,85
1-May-16,0.229166667,0.407,1.527,0.032,0.357,1.916,1.922,2.098,1.507,,1.991,28.172,66
1-Jun-16,0.198166667,0.344,1.12,0.006,0.054,1.18,1.109,1.448,0.983,,1.289,21.762,47
1-Jul-16,0.1755,0.2845,0.891,0.006,0.034,0.931,0.616,1.011,0.64,,0.931,18.99,39
1-Aug-16,0.162333333,0.244,0.998,0.002,0.034,1.034,0.316,0.797,0.425,,0.881,19.449,32
1-Sep-16,0.153666667,0.2335,1.074,0,0.008,1.082,0.167,0.496,0.315,,0.854,18.898,18
1-Oct-16,0.146142857,0.237,1.216,0.007,0.048,1.271,0.275,0.376,0.311,,0.786,15.79,-5
1-Nov-16,0.143333333,0.271,1.486,0.072,0.882,2.44,1.723,0.956,2.433,,1.469,23.104,-17
1-Dec-16,0.1465,0.3225,1.954,0.18,1.271,3.405,3.85,2.655,4.084,,3.006,30.763,34
1-Jan-17,0.153166667,0.3835,2.033,0.289,0.813,3.135,4.067,3.492,3.509,,3.505,32.27,78
1-Feb-17,0.163666667,0.4295,2.151,0.289,0.691,3.131,4.124,3.752,3.351,,3.84,35.122,73
1-Mar-17,0.184166667,0.479,1.967,0.255,0.565,2.787,3.712,4.514,3.725,,3.776,30.666,80
1-Apr-17,0.195333333,0.4715,1.843,0.135,0.5,2.478,3.086,4.026,2.76,,3.511,29.239,75
1-May-17,0.195166667,0.4265,1.628,0.066,0.538,2.232,2.354,2.941,2.032,,2.527,28.824,0
1-Jun-17,0.184,0.3645,1.363,0.011,0.185,1.559,1.451,1.915,1.353,,1.597,24.46,0
1-Jul-17,0.1665,0.276,1.149,0.006,0.054,1.209,0.829,1.335,0.952,,1.237,21.835,0
1-Aug-17,0.1595,0.2295,1.103,0.002,0.011,1.116,0.38,0.966,0.62,,1.011,20.133,0
1-Sep-17,0.1595,0.21,1.211,0,0.008,1.219,0.205,0.601,0.445,,1.012,15.702,0
1-Oct-17,0.179714286,0.228,1.353,0.02,0.173,1.546,0.479,0.582,0.686,,1.015,17.126,0
1-Nov-17,0.212,0.2885,1.769,0.109,0.878,2.756,1.897,1.55,3.535,,1.87,24.006,0
1-Dec-17,,0.389,2.297,0.235,1.016,3.548,3.715,2.852,3.817,,3.353,32.267,0
1-Jan-18,,,2.659,0.266,0.714,3.639,4.362,3.895,4.094,,3.782,39.739,0
1-Feb-18,,,2.663,0.345,0.638,3.646,4.473,4.117,3.575,,3.751,35.198,0
1-Mar-18,,,2.56,0.326,0.558,3.444,4.325,4.477,3.886,,3.764,34.421,0
1-Apr-18,,,2.198,0.165,0.578,2.941,3.385,3.667,2.857,,3.402,32.261,
1-May-18,,,1.656,0.066,0.555,2.277,2.349,2.586,2.363,,2.17,27.462,
1-Jun-18,,,1.252,0.003,0.116,1.371,1.359,1.538,1.677,,1.443,22.596,
1-Jul-18,,,0.875,0.015,0.075,0.965,0.703,1.187,1.115,,0.903,16.538,
1-Aug-18,,,1.118,0,0.046,1.164,0.394,0.816,0.784,,1.189,19.998,
1-Sep-18,,,1.193,0.002,0.013,1.208,0.209,0.583,0.502,,1,16.196,
1-Oct-18,,,1.304,0.016,0.149,1.469,0.455,0.681,0.846,,0.902,17.212,
1-Nov-18,,,1.54,0.077,0.873,2.49,1.536,1.136,2.854,,1.4,21.857,
1-Dec-18,,,1.762,0.205,1.52,3.487,3.732,2.186,3.657,,3.235,27.478,
1-Jan-19,,,2.168,0.253,1.046,3.467,4.315,3.747,3.462,,3.985,31.652,
